Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2/8/1999,37.25,37.38,36,36.38,2550200,0.14,1,27.67383574,27.77041557,26.74518353,27.0274938,2550200
2/5/1999,36.88,37.5,36.88,37.25,2931200,0,1,27.29392036,27.75276609,27.29392036,27.56774765,2931200
2/4/1999,36.81,37.69,36.5,36.5,5900900,0,1,27.24211519,27.89338011,27.01269233,27.01269233,5900900
2/3/1999,34.25,37.19,34.25,36.81,7444400,0,1,25.34752636,27.52334322,25.34752636,27.24211519,7444400
2/2/1999,34.06,34.56,33.75,34.19,2638100,0,1,25.20691235,25.57694923,24.97748948,25.30312194,2638100
2/1/1999,34.69,34.94,33.94,34.06,3267600,0,1,25.67315882,25.85817726,25.1181035,25.20691235,3267600
1/29/1999,34.62,34.88,34.25,34.69,2368500,0,1,25.62135365,25.81377283,25.34752636,25.67315882,2368500
1/28/1999,35.12,35.56,34.62,34.62,2576800,0,1,25.99139054,26.31702299,25.62135365,25.62135365,2576800
1/27/1999,35,36,35,35.12,5216600,0,1,25.90258168,26.64265545,25.90258168,25.99139054,5216600
1/26/1999,36,36.44,34.75,35,6950800,0,1,26.64265545,26.9682879,25.71756324,25.90258168,6950800
1/25/1999,34.81,36.12,34.81,36,6318000,0,1,25.76196767,26.7314643,25.76196767,26.64265545,6318000
1/22/1999,33.38,34.69,32.75,34.5,4964300,0,1,24.70366219,25.67315882,24.23741572,25.5325448,4964300
1/21/1999,34.25,34.75,33.19,33.38,3757300,0,1,25.34752636,25.71756324,24.56304817,24.70366219,3757300
1/20/1999,33.44,34.62,32.75,34.25,4558800,0,1,24.74806661,25.62135365,24.23741572,25.34752636,4558800
1/19/1999,33.69,33.94,32.56,33.44,3834400,0,1,24.93308506,25.1181035,24.0968017,24.74806661,3834400
1/15/1999,33.5,33.81,33.31,33.69,2754300,0,1,24.79247104,25.02189391,24.65185703,24.93308506,2754300
1/14/1999,33.69,34,33.25,33.5,3127700,0,1,24.93308506,25.16250792,24.6074526,24.79247104,3127700
1/13/1999,34.06,34.38,32.81,33.69,3922300,0,1,25.20691235,25.44373595,24.28182014,24.93308506,3922300
1/12/1999,34.88,34.88,34,34.06,3577500,0,1,25.81377283,25.81377283,25.16250792,25.20691235,3577500
1/11/1999,35.81,35.88,34.88,35.12,3920800,0,1,26.50204143,26.5538466,25.81377283,25.99139054,3920800
1/8/1999,35.81,36.75,35.56,35.81,4381200,0,1,26.50204143,27.19771077,26.31702299,26.50204143,4381200
1/7/1999,35.94,35.94,35.12,35.81,4039000,0,1,26.59825102,26.59825102,25.99139054,26.50204143,4039000
1/6/1999,35.75,36.5,35.75,36.06,8631400,0,1,26.45763701,27.01269233,26.45763701,26.68705987,8631400
1/5/1999,33.5,35.38,33.5,35.25,8202900,0,1,24.79247104,26.18380971,24.79247104,26.08760012,8202900
1/4/1999,32.81,33.56,32.81,32.94,6610200,0,1,24.28182014,24.83687547,24.28182014,24.37802973,6610200
12/31/1998,31.81,33.12,31.62,32.62,7343500,0,1,23.54174638,24.51124301,23.40113237,24.14120613,7343500
12/30/1998,32.06,32.06,31,31.81,4284700,0,1,23.72676482,23.72676482,22.94228663,23.54174638,4284700
12/29/1998,32.38,32.38,32,32.06,4290500,0,1,23.96358843,23.96358843,23.6823604,23.72676482,4290500
