"Symbol: $SRHC",,,,,
"Date Time","Open","High","Low","Close","Change"
2010-03-19,374.76,375.96,372.95,374.48,0.06999999999999318
2010-03-22,374.43,379.04,374.43,376.71,2.2299999999999613
2010-03-23,376.78,378.33,375.68,378.13,1.420000000000016
2010-03-24,378.13,378.13,374.87,374.87,-3.259999999999991
2010-03-25,374.93,376.51,372.71,372.92,-1.9499999999999886
2010-03-26,372.93,373.52,369.55,370.45,-2.4700000000000273
2010-03-29,370.46,374.11,370.46,373.77,3.319999999999993
2010-03-30,373.81,374.35,372.46,373.95,0.18000000000000682
2010-03-31,373.93,374.37,371.16,372.68,-1.2699999999999818
2010-04-01,372.75,375.39,372.75,374.75,2.069999999999993
2010-04-05,374.78,375.52,373.2,373.71,-1.0400000000000205
2010-04-06,373.71,374.18,372.57,373.06,-0.6499999999999773
2010-04-07,373.06,373.12,370.2,371.49,-1.5699999999999932
2010-04-08,371.48,371.48,369.25,370.68,-0.8100000000000023
2010-04-09,370.68,372.42,370.52,372.17,1.490000000000009
2010-04-12,372.15,372.49,370.97,371.41,-0.7599999999999909
2010-04-13,371.41,371.93,369.13,371.51,0.0999999999999659
2010-04-14,371.46,371.46,368.57,369.9,-1.6100000000000136
2010-04-15,369.82,370.29,367.84,368.95,-0.9499999999999886
2010-04-16,368.94,369.52,364.98,366.85,-2.099999999999966
2010-04-19,366.84,369.94,365.56,369.73,2.8799999999999955
2010-04-20,369.75,371.35,369.39,370.67,0.9399999999999977
2010-04-21,370.62,370.62,362.65,364.2,-6.470000000000027
2010-04-22,364.26,364.26,357.61,359.48,-4.71999999999997
2010-04-23,359.48,363.72,357.61,363.5,4.019999999999982
2010-04-26,363.62,364.74,359.31,359.47,-4.029999999999973
2010-04-27,359.47,361.33,355.07,355.46,-4.010000000000048
2010-04-28,355.49,359.18,354.82,357.84,2.3799999999999955
2010-04-29,357.67,364.66,357.67,362.59,4.75
2010-04-30,362.59,364.18,358.1,358.12,-4.46999999999997
2010-05-03,358.13,361.2,357.8,360.16,2.0400000000000205
2010-05-04,359.97,360.9,356.23,357.44,-2.7200000000000273
2010-05-05,357.44,358.9,355.19,358.19,0.75
2010-05-06,358.19,358.19,330.78,348.91,-9.279999999999973
2010-05-07,348.81,348.81,339.86,344.19,-4.720000000000027
2010-05-10,344.34,356.8,344.34,353.51,9.319999999999993
2010-05-11,353.51,356,350.38,352.89,-0.6200000000000045
2010-05-12,352.91,355.55,352.25,355.35,2.4600000000000364
2010-05-13,355.27,355.3,351.85,351.94,-3.410000000000025
2010-05-14,351.93,351.93,344.05,346.52,-5.420000000000016
2010-05-17,346.54,348.29,341.6,346.83,0.3100000000000023
2010-05-18,346.83,349.57,343.79,344.14,-2.6899999999999977
2010-05-19,344.11,345.94,341.14,343.68,-0.45999999999997954
2010-05-20,343.68,343.68,332.18,332.18,-11.5
2010-05-21,332,333.98,327.6,333.11,0.9300000000000068
2010-05-24,333.11,335.94,330.67,332.39,-0.7200000000000273
2010-05-25,332.23,332.23,323.75,330.74,-1.6499999999999773
2010-05-26,330.74,334.28,328.67,328.86,-1.8799999999999955
2010-05-27,328.86,335.23,328.86,335.19,6.329999999999984
2010-05-28,335.12,336.84,332.56,333.08,-2.1100000000000136
2010-06-01,333.01,335.18,329.4,329.62,-3.4599999999999795
2010-06-02,329.63,337.4,329.63,337.37,7.75
2010-06-03,337.29,339.88,336.53,338.89,1.5199999999999818
2010-06-04,338.12,338.12,327.89,328.79,-10.099999999999966
2010-06-07,328.82,332.52,328.49,328.67,-0.12000000000000455
2010-06-08,328.69,329.5,325.13,329.15,0.47999999999996135
2010-06-09,329.22,331.51,326.55,327.35,-1.7999999999999545
2010-06-10,327.95,334.86,327.95,333.99,6.639999999999986
2010-06-11,333.99,336.87,333.51,336.7,2.7099999999999795
2010-06-14,336.81,340.11,336.81,337.25,0.5500000000000114
